"","codenumber","total_cs","age_group","l1","l2","l3","l1_overall","l2_overall","l3_overall","person_1","person_1_l1","person_1_l2","person_1_l3","person_1_nat1","person_1_nat2","person_1_nat3","person_1_fluency1","person_1_fluency2","person_1_fluency3","person_2","person_2_l1","person_2_l2","person_2_l3","person_2_nat1","person_2_nat2","person_2_nat3","person_2_fluency1","person_2_fluency2","person_2_fluency3","par1_nat_chi_l1","par2_nat_chi_l1","parent_nat_chi_l1","par1_nat_chi_l2","par2_nat_chi_l2","parent_nat_chi_l2","par1_nat_chi_l3","par2_nat_chi_l3","parent_nat_chi_l3","par1_flu_chi_l1","par2_flu_chi_l1","parent_flu_chi_l1","par1_flu_chi_l2","par2_flu_chi_l2","parent_flu_chi_l2","par1_flu_chi_l3","par2_flu_chi_l3","parent_flu_chi_l3"
"21",8093,0,36,"ENGLISH","NO L2","NO L3",1,0,0,"MOTHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,"FATHER","ENGLISH","SPANISH",NA,1,0,NA,4,NA,NA,1,1,1,0,0,999,0,0,999,4,4,8,NA,NA,999,NA,NA,999
"22",8097,18,36,"MANDARIN","ENGLISH","NO L3",0.602,0.398,0,"MOTHER","MANDARIN","ENGLISH","TAIWANESE",1,0,1,4,4,NA,"FATHER","MANDARIN","ENGLISH","TAIWANESE",1,0,1,4,NA,4,1,1,1,0,0,0,0,0,999,4,4,8,4,NA,4,NA,NA,999
"23",8099,0,36,"ENGLISH","NO L2","NO L3",1,0,0,"MOTHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,"FATHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,1,1,1,0,0,999,0,0,999,4,4,8,NA,NA,999,NA,NA,999
"24",8107,NA,36,"FRENCH","ENGLISH","SPANISH",0.663,0.332,0.005,"MOTHER","FRENCH","ENGLISH",NA,1,0,NA,NA,4,NA,"FATHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,1,0,1,0,1,1,0,0,0,NA,NA,NA,4,4,8,NA,NA,NA
"25",8152,0,36,"ENGLISH","NO L2","NO L3",1,0,0,"MOTHER","ENGLISH","SPANISH",NA,1,0,NA,4,1,NA,"FATHER","ENGLISH","SPANISH",NA,1,0,NA,4,2,NA,1,1,1,0,0,999,0,0,999,4,4,8,NA,NA,999,NA,NA,999
"26",8155,18,36,"ENGLISH","SPANISH","NO L3",0.732,0.268,0,"MOTHER","ENGLISH","SPANISH",NA,1,1,NA,4,4,NA,"FATHER","ENGLISH","SPANISH",NA,1,0,NA,4,NA,NA,1,1,1,1,0,1,0,0,999,4,4,8,4,NA,4,NA,NA,999
"27",8199,1,36,"ENGLISH","FRENCH","NO L3",0.9,0.1,0,"MOTHER","ENGLISH","FRENCH","GERMAN",1,0,0,4,1,1,"FATHER","ENGLISH","FRENCH","GERMAN",1,0,0,4,2,1,1,1,1,0,0,0,0,0,999,4,4,8,1,2,3,NA,NA,999
"28",8217,0,36,"ENGLISH","SPANISH","NO L3",0.98,0.03,0,"MOTHER","ENGLISH","SPANISH",NA,1,0,NA,4,2,NA,"FATHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,1,1,1,0,0,0,0,0,999,4,4,8,2,NA,2,NA,NA,999
"29",8219,5,36,"GERMAN","ENGLISH","NO L3",0.775,0.225,0,"MOTHER","GERMAN","ENGLISH","SPANISH",1,1,0,4,4,NA,"FATHER","ENGLISH","GERMAN",NA,1,1,NA,4,4,NA,1,1,1,1,1,1,0,0,999,4,4,8,4,4,8,NA,NA,999
"30",8222,0,36,"ENGLISH","NO L2","NO L3",1,0,0,"FATHER","ENGLISH","SPANISH",NA,1,1,NA,4,4,NA,"MOTHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,1,1,1,0,0,999,0,0,999,4,4,8,NA,NA,999,NA,NA,999
"31",8228,NA,36,"ENGLISH","SPANISH","NO L3",0.82,0.18,0,"MOTHER","ENGLISH","SPANISH","FRENCH",1,0,0,4,1,2,"FATHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,1,1,1,0,0,0,0,0,999,4,4,8,1,NA,1,NA,NA,999
"32",8229,NA,36,"ENGLISH","SPANISH","NO L3",0.82,0.18,0,"MOTHER","ENGLISH","SPANISH","FRENCH",1,0,0,4,1,2,"FATHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,1,1,1,0,0,0,0,0,999,4,4,8,1,NA,1,NA,NA,999
"33",8231,0,36,"ENGLISH","FARSI","HINDI",0.889,0.035,0.025,"MOTHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,"FATHER","GUJRATHI","HINDI","ENGLISH",1,1,0,4,4,4,1,0,1,0,0,0,0,1,1,4,4,8,NA,NA,NA,NA,4,4
"34",8266,NA,36,"ENGLISH","GERMAN","SPANISH",0.89,0.1,0.01,"MOTHER","GERMAN","ENGLISH","FRENCH",1,1,0,3,4,1,"FATHER","ENGLISH","GERMAN","SPANISH",1,0,0,4,1,1,1,1,1,1,0,1,0,0,0,4,4,8,3,1,4,NA,1,1
"35",8277,1,36,"ENGLISH","SANSKRIT","NO L3",0.99,0.01,0,"MOTHER","ENGLISH","FRENCH","SANSKRIT",1,0,0,4,1,NA,"FATHER","ENGLISH","SPANISH",NA,1,0,NA,4,2,NA,1,1,1,0,0,0,0,0,999,4,4,8,NA,NA,NA,NA,NA,999
"36",8319,0,36,"ENGLISH","NO L2","NO L3",1,0,0,"MOTHER","ENGLISH","SPANISH",NA,1,0,NA,4,1,NA,"FATHER","ENGLISH","GREEK","GERMAN",1,0,0,4,3,4,1,1,1,0,0,999,0,0,999,4,4,8,NA,NA,999,NA,NA,999
"37",8334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",8349,1,36,"ENGLISH","SPANISH","NO L3",0.995,0.005,0,"MOTHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,"FATHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,1,1,1,0,0,0,0,0,999,4,4,8,NA,NA,NA,NA,NA,999
"39",8352,25,36,"ENGLISH","MANDARIN","SPANISH",0.733,0.241,0.013,"MOTHER","MANDARIN","ENGLISH","SPANISH",1,0,0,4,NA,NA,"FATHER","ENGLISH","CANTONESE",NA,1,0,NA,4,NA,NA,0,1,1,1,0,1,0,0,0,NA,4,4,4,NA,4,NA,NA,NA
"40",8356,0,36,"ENGLISH","NO L2","NO L3",1,0,0,"MOTHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,"FATHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,1,1,1,0,0,999,0,0,999,4,4,8,NA,NA,999,NA,NA,999
"41",8360,1,36,"SPANISH","FRENCH","ENGLISH",0.751,0.199,0.035,"MOTHER","SPANISH","ENGLISH","PORTUGUESE",1,1,0,4,4,2,"FATHER","SPANISH","ENGLISH",NA,1,1,NA,4,4,NA,1,1,1,0,0,0,1,1,1,4,4,8,NA,NA,NA,4,4,8
"42",8368,6,36,"ENGLISH","SPANISH","NO L3",0.94,0.06,0,"MOTHER","ENGLISH","FRENCH",NA,1,0,NA,4,4,NA,"FATHER","ENGLISH","FRENCH",NA,1,0,NA,4,NA,NA,1,1,1,0,0,0,0,0,999,4,4,8,NA,NA,NA,NA,NA,999
"43",8374,0,36,"ENGLISH","NO L2","NO L3",1,0,0,"MOTHER","ENGLISH","FRENCH",NA,1,1,NA,4,3,NA,"FATHER","TAGALOG","ENGLISH",NA,1,1,NA,3,4,NA,1,1,1,0,0,999,0,0,999,4,4,8,NA,NA,999,NA,NA,999
"44",8376,10,36,"ENGLISH","GERMAN","NO L3",0.67,0.33,0,"MOTHER","ENGLISH","SPANISH",NA,1,0,NA,4,3,NA,"FATHER","ENGLISH","GERMAN","SPANISH",1,1,0,4,4,2,1,1,1,0,1,1,0,0,999,4,4,8,NA,4,4,NA,NA,999
"45",8378,1,36,"SPANISH","FRENCH","ENGLISH",0.648,0.257,0.095,"MOTHER","SPANISH","ENGLISH",NA,1,1,NA,4,4,NA,"FATHER","SPANISH","ENGLISH",NA,1,1,NA,4,4,NA,1,1,1,0,0,0,1,1,1,4,4,8,NA,NA,NA,4,4,8
"46",8389,NA,36,"SPANISH","ENGLISH","FRENCH",0.821,0.178,0.002,"MOTHER","ENGLISH","SPANISH","FRENCH",1,1,0,4,4,NA,"FATHER","SPANISH","ENGLISH",NA,1,0,NA,4,NA,NA,1,1,1,1,0,1,0,0,0,4,4,8,4,NA,4,NA,NA,NA
"47",8390,NA,36,"ENGLISH","SPANISH","NO L3",0.99,0.01,0,"MOTHER","ENGLISH","SPANISH",NA,1,0,NA,4,3,NA,"FATHER","ENGLISH","MANDARIN",NA,1,0,NA,4,2,NA,1,1,1,0,0,0,0,0,999,4,4,8,3,NA,3,NA,NA,999
"48",8391,15,36,"SPANISH","ENGLISH","NO L3",0.557,0.443,0,"MOTHER","ENGLISH","SPANISH",NA,1,0,NA,4,4,NA,"FATHER","ENGLISH","SPANISH",NA,1,0,NA,4,3,NA,0,0,0,1,1,1,0,0,999,4,3,7,4,4,8,NA,NA,999
"49",8402,0,36,"ENGLISH","NO L2","NO L3",1,0,0,"MOTHER","ENGLISH","SPANISH","FRENCH",1,0,0,4,NA,NA,"FATHER","ENGLISH","GERMAN",NA,1,1,NA,4,3,NA,1,1,1,0,0,999,0,0,999,4,4,8,NA,NA,999,NA,NA,999
"50",8409,0,36,"ENGLISH","NO L2","NO L3",1,0,0,"MOTHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,"FATHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,1,1,1,0,0,999,0,0,999,4,4,8,NA,NA,999,NA,NA,999
"51",8419,NA,36,"ENGLISH","SPANISH","NO L3",0.98,0.02,0,"MOTHER","ENGLISH","SPANISH","FRENCH",1,0,0,4,1,1,"FATHER","ENGLISH","SPANISH",NA,1,0,4,2,NA,NA,1,1,1,0,0,0,0,0,999,4,2,6,1,NA,1,NA,NA,999
"52",8421,0,36,"ENGLISH","NO L2","NO L3",1,0,0,"MOTHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,"FATHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,1,1,1,0,0,999,0,0,999,4,4,8,NA,NA,999,NA,NA,999
"53",8422,0,36,"ENGLISH","NO L2","NO L3",1,0,0,"MOTHER","ENGLISH","FRENCH",NA,1,0,NA,4,NA,NA,"FATHER","ENGLISH","SPANISH","FRENCH",1,0,0,4,NA,NA,1,1,1,0,0,999,0,0,999,4,4,8,NA,NA,999,NA,NA,999
"54",8423,0,36,"ENGLISH","SPANISH","NO L3",0.985,0.015,0,"MOTHER","ENGLISH","SPANISH",NA,1,0,NA,4,1,NA,"FATHER","ENGLISH","FRENCH","LATIN",1,0,0,4,1,1,1,1,1,0,0,0,0,0,999,4,4,8,1,NA,1,NA,NA,999
"55",8428,NA,36,"ENGLISH","SPANISH","NO L3",0.914,0.086,0,"MOTHER","ENGLISH","SPANISH",NA,1,0,NA,4,2,NA,"FATHER","SPANISH","ENGLISH",NA,1,0,NA,4,4,NA,1,0,1,0,1,1,0,0,999,4,4,8,2,4,6,NA,NA,999
"56",8429,30,36,"ENGLISH","HINDI","SPANISH",0.607,0.37,0.023,"MOTHER","ENGLISH","HINDI","ITALIAN",1,1,0,4,4,3,"FATHER","ENGLISH","SPANISH",NA,1,0,NA,4,2,NA,1,1,1,1,0,1,0,0,0,4,4,8,4,NA,4,NA,2,2
"57",8431,0,36,"ENGLISH","SPANISH","NO L3",0.69,0.31,0,"MOTHER","ENGLISH",NA,NA,1,NA,NA,4,NA,NA,"FATHER","ENGLISH","SPANISH",NA,1,0,NA,4,4,NA,1,1,1,0,0,0,0,0,999,4,4,8,NA,4,4,NA,NA,999
"58",8433,0,36,"ENGLISH","SPANISH","NO L3",0.96,0.05,0,"MOTHER","ENGLISH","SPANISH",NA,1,0,NA,4,NA,NA,"FATHER","ENGLISH","SPANISH",NA,1,0,NA,4,NA,NA,1,1,1,0,0,0,0,0,999,4,4,8,NA,NA,NA,NA,NA,999
"59",8435,11,36,"ENGLISH","SPANISH","NO L3",0.79,0.21,0,"MOTHER","ENGLISH","SPANISH",NA,1,0,NA,4,2,NA,"FATHER","ENGLISH","SPANISH",NA,1,0,NA,4,2,NA,1,1,1,0,0,0,0,0,999,4,4,8,2,2,4,NA,NA,999
"60",8436,NA,36,"ENGLISH","SINHALA","NO L3",0.968,0.032,0,"MOTHER","ENGLISH","GERMAN",NA,1,0,NA,4,1,NA,"FATHER","ENGLISH","SPANISH",NA,1,0,NA,4,1,NA,1,1,1,0,0,0,0,0,999,4,4,8,NA,NA,NA,NA,NA,999
