codenumber,newID,coder,exptr,pose,age,gender,Movement_Onset,Movement,Piece,Orientation,training,demoStart,demoEnd,testStart,FirstTouch,testEnd,robotExptr,robotChild,manipCheck,Naming,Goal,LTG,CRP,CRT
134 ,134 36,MO,, C4,36,M,236096,M,1,5,,188881,229551,231410,0,281550, W, R, c, 999, 0,0, 999, 999
134 ,134 36,MO,, C4,36,M,238512,M,2,5,,188881,229551,231410,0,281550, W, R, c, 999, 0,0, 999, 999
134 ,134 36,MO,, C4,36,M,251279,M,5,1,,188881,229551,231410,0,281550, W, R, c, 999, 0,0, 999, 999
134 ,134 36,MO,, C4,36,M,252393,M,1,5,,188881,229551,231410,0,281550, W, R, c, 999, 0,0, 999, 999
134 ,134 36,MO,, C4,36,M,253878,M,2,5,,188881,229551,231410,0,281550, W, R, c, 999, 0,0, 999, 999
134 ,134 36,MO,, C4,36,M,267947,M,5,1,,188881,229551,231410,0,281550, W, R, c, 999, 0,0, 999, 999
134 ,134 36,MO,, C4,36,M,270052,M,1,5,,188881,229551,231410,0,281550, W, R, c, 999, 0,0, 999, 999
134 ,134 36,MO,, C4,36,M,271011,M,2,5,,188881,229551,231410,0,281550, W, R, c, 999, 0,0, 999, 999
134 ,134 36,OB,, C3,36,M,153274,M,2,1,,108363,145435,150280,150280,183908, W, R, c,, 1,160776,,
134 ,134 36,OB,, C3,36,M,156654,M,1,1,,108363,145435,150280,150280,183908, W, R, c,, 1,160776,,
134 ,134 36,OB,, C3,36,M,160530,M,3,2,,108363,145435,150280,150280,183908, W, R, c,, 1,160776,,
134 ,134 36,OB,, C3,36,M,171774,M,2,1,,108363,145435,150280,150280,183908, W, R, c,, 1,160776,,
134 ,134 36,OB,, C3,36,M,174158,M,1,1,,108363,145435,150280,150280,183908, W, R, c,, 1,160776,,
134 ,134 36,OB,, C3,36,M,179485,M,3,2,,108363,145435,150280,150280,183908, W, R, c,, 1,160776,,
135 ,135 36,TS,, C5,36,F,366054,M,4,4,,317242,355772,359915,0,418090, B, O, c,, 1,418090,,
135 ,135 36,TS,, C5,36,F,366692,M,3,3,,317242,355772,359915,0,418090, B, O, c,, 1,418090,,
135 ,135 36,TS,, C5,36,F,367672,M,3,6,,317242,355772,359915,0,418090, B, O, c,, 1,418090,,
135 ,135 36,TS,, C5,36,F,367672,M,4,6,,317242,355772,359915,0,418090, B, O, c,, 1,418090,,
135 ,135 36,TS,, C5,36,F,369496,IM,4,2,,317242,355772,359915,0,418090, B, O, c,, 1,418090,,
135 ,135 36,TS,, C5,36,F,372164,IM,4,2,,317242,355772,359915,0,418090, B, O, c,, 1,418090,,
135 ,135 36,TS,, C5,36,F,378338,M,4,4,,317242,355772,359915,0,418090, B, O, c,, 1,418090,,
135 ,135 36,TS,, C5,36,F,381443,IM,4,2,,317242,355772,359915,0,418090, B, O, c,, 1,418090,,
135 ,135 36,TS,, C5,36,F,382509,M,4,6,,317242,355772,359915,0,418090, B, O, c,, 1,418090,,
135 ,135 36,TS,, C5,36,F,387189,IM,3,2,,317242,355772,359915,0,418090, B, O, c,, 1,418090,,
135 ,135 36,TS,, C5,36,F,387189,IM,4,2,,317242,355772,359915,0,418090, B, O, c,, 1,418090,,
