"codenumber","total_cs","age_group","l1","l2","l3","l1_overall","l2_overall","l3_overall","parent_nat_chi_l1","parent_nat_chi_l2","parent_nat_chi_l3","parent_flu_chi_l1","parent_flu_chi_l2","parent_flu_chi_l3"
8709,0,36,"ENGLISH","NO L2","NO L3",1,0,0,1,999,999,8,999,999
8712,6,36,"SPANISH","ENGLISH","NO L3",0.615,0.385,0,1,1,999,4,4,999
8713,0,36,"ENGLISH","NO L2","NO L3",0.645,0.149,0.149,1,999,999,8,999,999
8718,3,36,"RUSSIAN","SPANISH","ENGLISH",0.647,0.279,0.075,1,0,1,8,NA,8
8720,0,36,"ENGLISH","NO L2","NO L3",1,0,0,1,999,999,4,999,999
8722,0,36,"ENGLISH","NO L2","NO L3",1,0,0,1,999,999,8,999,999
8732,0,36,"ENGLISH","SPANISH","NO L3",0.99,0.01,0,1,0,999,8,NA,999
8733,15,36,"ENGLISH","SPANISH","NO L3",0.589,0.411,0,1,1,999,8,7,999
8742,0,36,"ENGLISH","NO L2","NO L3",1,0,0,1,999,999,7,999,999
8754,0,36,"ENGLISH","SPANISH","NO L3",0.98,0.02,0,1,0,999,8,NA,999
8757,0,36,"ENGLISH","NO L2","NO L3",1,0,0,1,999,999,8,999,999
8759,0,36,"ENGLISH","SPANISH","NO L3",0.975,0.025,0,1,0,999,8,2,999
8760,0,36,"ENGLISH","MANDARIN","NO L3",0.987,0.013,0,1,1,999,8,4,999
8763,5,36,"ENGLISH","SPANISH","NO L3",0.856,0.144,0,1,1,999,8,8,999
8764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8765,8,36,"ENGLISH","POLISH","NO L3",0.845,0.155,0,1,1,999,8,6,999
8766,0,36,"ENGLISH","NO L2","NO L3",1,0,0,1,999,999,8,999,999
8814,0,36,"ENGLISH","SPANISH","NO L3",0.87,0.13,0,1,0,999,8,2,999
8819,0,36,"ENGLISH","NO L2","NO L3",1,0,0,1,999,999,8,999,999
8834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8973,NA,36,"ENGLISH","CANTONESE","NO L3",0.783,0.217,0,1,1,999,4,4,999
8981,16,36,"ENGLISH","KOREAN","TAGALOG",0.955,0.035,0.01,1,1,0,8,4,NA
9046,9,36,"SLOVAK","FRENCH","ENGLISH",0.435,0.377,0.188,1,1,1,4,4,8
9069,12,36,"ENGLISH","SPANISH","NO L3",0.84,0.16,0,1,1,999,8,6,999
