codenumber,code_new,dob,visit,leat_date,age_days,age_mo,visit_num,which,race,mixed, Race-Caucasian,Race-African/ African American,Race-Asian/ Asian American,Race-Native American,Race-Other (please specify),Child's Race - Other (please specify),latinx,gender,p1_edu,p2_edu,p1_edu_yr,p2_edu_yr,zipcode,income
8672,8672,,,,1176,38,3,123,w,0,1,0,0,0,0,0,0,Male,4,4,16,16,,117653
8678,8678,,,,1199,39,2,23,w,0,1,0,0,0,0,0,0,Female,5,5,18,18,,131653
8685,8685,,,,1206,39,2,23,w,0,1,0,0,0,0,0,0,Female,4,6,16,20,,93394
8696,8696,,,,1173,38,3,123,w,0,1,999,999,999,999,999,0,Male,4,4,16,16,,102588
8699,8699,,,,1214,39,3,123,w,0,1,999,999,999,999,999,1,Female,5,5,18,18,,67799
8702,8702,,,,1176,38,3,123,w,0,1,0,0,0,0,0,0,Male,6,6,20,20,,96710
8709,8709,,,,1131,37,3,123,w,0,1,999,999,999,999,999,0,Male,4,5,16,18,,102588
8712,8712,,,,1158,38,3,123,w,0,1,999,999,999,999,999,1,Male,5,5,18,18,,65167
8713,8713,,,,1206,39,3,123,w,0,1,999,999,999,999,999,0,Male,5,5,18,18,,151395
8718,8718,,,,1186,38,3,123,w,0,1,999,999,999,999,999,0,Female,6,6,20,20,,47996
8720,8720,,,,1173,38,3,123,w,0,1,0,0,0,0,0,0,Female,5,6,18,20,,60442
8722,8722,,,,1173,38,3,123,w,0,1,999,999,999,999,999,0,Female,5,5,18,18,,93394
8732,8732,,,,1178,38,3,123,w,0,1,999,999,999,999,999,0,Male,4,5,16,18,,108644
8733,8733,,,,1216,39,3,123,mixed,1,1,999,999,999,1,Mixed,1,Female,4,5,16,18,,101338
8742,8742,,,,1197,39,3,123,w,0,1,999,999,999,999,999,0,Male,4,2,16,12,,117653
8754,8754,,,,1181,38,3,123,w,0,1,999,999,999,999,999,0,Male,5,4,18,16,,121477
8757,8757,,,,1172,38,3,123,w,0,1,0,0,0,0,0,0,Male,4,3,16,14,,108617
8759,8759,,,,1189,39,3,123,w,0,1,999,999,999,999,999,0,Male,4,4,16,16,,88398
8760,8760,,,,1184,38,3,123,mixed,1,1,999,1,999,999,999,0,Female,5,5,18,18,,121477
8763,8763,,,,1167,38,3,123,mixed,1,1,999,999,1,999,999,1,Male,3,4,14,16,,90398
8764,8764,,,,1256,41,3,123,w,0,1,999,999,999,999,999,0,Male,5,5,18,18,,116283
8765,8765,,,,1152,37,3,123,mixed,1,1,999,1,999,999,999,0,Female,4,5,16,18,,121477
8766,8766,,,,1224,40,3,123,w,0,1,999,999,999,999,999,0,Female,5,5,18,18,,97598
8814,8814,,,,1227,40,3,123,w,0,1,999,999,999,999,999,1,Female,4,4,16,16,,113968
8819,8819,,,,1191,39,3,123,w,0,1,0,0,0,0,0,0,Male,4,6,16,20,,142122
8834,8834,,,,1171,38,3,123,w,0,1,0,0,0,0,0,0,Female,4,3,16,14,,46585
8969,8969,,,,1201,39,3,123,w,0,1,0,0,0,0,0,0,Male,5,5,18,18,,53822
8973,8973,,,,1126,37,3,123,mixed,1,1,0,1,0,1,Asian/Caucasian,0,Female,5,5,18,18,,158766
8981,8981,,,,1130,37,3,123,mixed,1,1,999,1,999,999,999,0,Female,4,4,16,16,,87190
9046,9046,,,,1140,37,2,23,w,0,1,999,999,999,999,999,0,Female,5,5,18,18,,96710
9069,9069,,,,1258,41,2,13,w,0,1,999,999,999,999,999,1,Male,4,5,16,18,,100659
9029,9029,,,,1318,43,2,13,w,0,1,999,999,999,999,999,0,Female,4,4,16,16,,82418
8517,8517,,,,1711,56,3,123,w,0,1,999,999,999,999,999,0,Female,5,6,18,20,,158706
8998,8998,,,,1391,45,3,123,w,0,1,999,999,999,999,999,0,Female,6,6,20,20,,121648
8769,8769,,,,1526,50,3,123,mixed,1,1,999,1,999,999,999,0,Female,5,5,18,18,,89841
9169,9169,,,,1167,38,2,13,w,0,1,999,999,999,999,999,0,Female,5,6,18,20,,75317
9163,9163,,,,1355,44,2,23,aa,0,999,1,999,999,999,999,0,Male,4,4,16,16,,48274
9095,9095,,,,1345,44,3,123,am,0,999,999,1,999,999,999,0,Male,4,4,16,16,,103520
8725,8725_home,,,,1607,52,3,123,w,0,1,999,999,999,999,999,0,Male,5,4,18,16,,61723
9116,9116,,,,1303,42,2,13,mixed,1,1,999,1,999,999,999,0,Male,5,5,18,18,,158706
8767,8767,,,,1579,51,3,123,mixed,1,1,1,999,999,999,999,1,Female,5,4,18,16,,95070
8866,8866,,,,1662,54,3,123,w,0,1,999,999,999,999,999,1,Male,5,5,18,18,,103520
8890,8890,,,,1482,48,3,123,w,0,1,999,999,999,999,999,0,Male,5,4,18,16,,172442
8552,8552_home,,,,1691,55,3,123,w,0,1,999,999,999,999,999,0,Male,5,4,18,16,,41670
9080,9080,,,,1196,39,2,13,w,0,1,999,999,999,999,999,1,Female,4,4,16,16,,113968
9162,9162,,,,1401,46,2,23,w,0,1,999,999,999,999,999,0,Female,5,4,18,16,,90398
8744,8744,,,,1595,52,3,123,w,0,1,999,999,999,999,999,0,Female,5,5,18,18,,98311
8987,8987,,,,1761,57,3,123,mixed,1,1,999,1,999,1,Mix of white and Japanese,0,Male,5,5,18,18,,101338
9128,9128,,,,1320,43,3,123,w,0,1,999,999,999,999,999,1,Male,6,5,20,18,,95433
9056,9056,,,,1491,48,3,123,w,0,1,999,999,999,999,999,0,Male,5,5,18,18,,95278
8552,8552_leat,,,,-42816,#NUM!,3,123,w,0,1,999,999,999,999,999,0,Male,5,4,18,16,,41670
8725,8725_leat,,,,-42888,#NUM!,3,123,w,0,1,999,999,999,999,999,1,Male,5,4,18,16,,61723
8736,8736_leat,,,,-42758,#NUM!,3,123,mixed,1,1,999,1,999,999,999,0,Male,4,5,16,18,,61723
8736,8736_home,,,,1733,56,3,123,mixed,1,1,999,1,999,999,999,0,Male,4,5,16,18,,61723
8748,8748_leat,,,,-42934,#NUM!,3,123,w,0,1,999,999,999,999,999,0,Female,5,4,18,16,,95070
8748,8748_home,,,,1607,52,3,123,w,0,1,999,999,999,999,999,0,Female,5,4,18,16,,95070
8751,8751_home,,,,1723,56,3,123,w,0,1,999,999,999,999,999,0,Female,5,6,18,20,,100659
8751,8751_leat,,,,-42774,#NUM!,3,123,w,0,1,999,999,999,999,999,0,Female,5,6,18,20,,61723
8908,8908_leat,,,,-42802,#NUM!,3,123,w,0,1,999,999,999,999,999,0,Male,4,5,16,18,,101472
8908,8908_home,,,,1720,56,3,123,w,0,1,999,999,999,999,999,0,Male,4,5,16,18,,101472
8971,8971_home,,,,1683,55,3,123,w,0,1,999,999,999,999,999,0,Male,4,6,16,20,,126841
8971,8971_leat,,,,-42817,#NUM!,3,123,w,0,1,999,999,999,999,999,0,Male,4,6,16,20,,126841
9034,9034_leat,,,,-42863,#NUM!,3,123,w,0,1,999,999,999,999,999,0,Female,4,5,16,18,,103203
9034,9034_home,,,,1631,53,3,123,w,0,1,999,999,999,999,999,0,Female,4,5,16,18,,103203
9045,9045_leat,,,,-42908,#NUM!,3,123,w,0,1,999,999,999,999,999,0,Male,4,4,16,16,,41670
9045,9045_leat2,,,,-42908,#NUM!,3,123,w,0,1,999,999,999,999,999,0,Male,4,4,16,16,,76184
8695,8695_leat,,,,-42821,#NUM!,3,123,w,0,1,999,999,999,999,999,0,Female,5,4,18,16,,33135
8735,8735_leat,,,,-42931,#NUM!,3,123,w,0,1,999,999,999,999,999,0,Male,5,6,18,20,,54979
8745,8745_leat,,,,-42775,#NUM!,3,123,w,0,1,999,999,999,999,999,0,Female,6,2,20,12,,117653
8795,8795_leat,,,,-42852,#NUM!,3,123,w,0,1,999,999,999,999,999,0,Male,5,4,18,16,,98311
8805,8805_leat,,,,-42777,#NUM!,3,123,w,0,1,999,999,999,999,999,0,Male,4,4,16,16,,103520
8921,8921_leat,,,,-43001,#NUM!,3,123,mixed,1,1,999,1,999,999,999,0,Female,5,6,18,20,,75097
8985,8985_leat,,,,-42758,#NUM!,3,123,am,0,999,999,1,999,999,999,0,Female,4,5,16,18,,142122
8989,8989_leat,,,,-42868,#NUM!,3,123,w,0,1,999,999,999,999,999,0,Male,3,4,14,16,,121477
9052,9052,,,,1589,52,3,123,mixed,1,1,1,0,0,0,0,0,Male,4,4,16,16,,65452
