"","codenumber","newID","coder","pose","age","gender","training","robotExptr","robotChild","manipCheck","Naming","CRP","CRT","M_count","TestDuration","DemoDuration","Goal","LatGoal","totalsteps","totalpairs","totaltriplets","totalquadruplets","totalquintuplets","test_lessthan_100per","test_lessthan_50per","LOOK_at_this_code"
"90",6937,"693760","MO","C5",60,"F",0,"O","B","c"," 999"," 999"," 999",15,54.398,37.758," 1",26.749,5,4,3,2,1,0,0,0
"91",6937,"693760","MO","CB2",60,"F",0,"999","R","999"," 999"," 999"," 999",0,69.312,0," 999",999,0,0,0,0,0,0,0,0
"92",6937,"693760","MO","CB3",60,"F",0,"999","R","999"," 999"," 999"," 999",0,69.312,0," 999",999,0,0,0,0,0,0,0,0
"93",6937,"693760","MO","CB4",60,"F",0,"999","R","999"," 999"," 999"," 999",0,69.312,0," 999",999,0,0,0,0,0,0,0,0
"94",6937,"693760","MO","CB5",60,"F",0,"999","R","999"," 999"," 999"," 999",0,69.312,0," 999",999,0,0,0,0,0,0,0,0
"95",6999,"699960","MO","C3",60,"F",0,"O","B","c","","","",5,41.533,29.047," 1",7.521,3,2,1,0,0,0,0,0
"96",6999,"699960","MO","C4",60,"F",0,"O","B","c","","","",7,18.065,46.048," no",999,3,1,0,0,0,1,1,0
"97",6999,"699960","MO","C5",60,"F",0,"O","B","c","","","",5,36.66,39.399," 1",27.052,5,2,1,0,0,1,0,0
"98",6999,"699960","MO","CB2",60,"F",0,"999","R","999"," 999"," 999"," 999",6,50.456,0," 999",999,0,0,0,0,0,0,0,0
"99",6999,"699960","MO","CB3",60,"F",0,"999","R","999"," 999"," 999"," 999",6,50.456,0," 999",999,0,0,0,0,0,0,0,0
"100",6999,"699960","MO","CB4",60,"F",0,"999","R","999"," 999"," 999"," 999",6,50.456,0," 999",999,0,0,0,0,0,0,0,0
"101",6999,"699960","MO","CB5",60,"F",0,"999","R","999"," 999"," 999"," 999",6,50.456,0," 999",999,0,0,0,0,0,0,0,0
"102",7003,"700360","MO","C3",60,"F",0,"O","B","np"," 999"," 999"," 999",8,47.305,26.007," yes",6.504,3,2,1,0,0,0,0,0
"103",7003,"700360","MO","CB2",60,"F",0,"999","R","np"," 999"," 999"," 999",0,66.896,0," 999",999,0,0,0,0,0,0,0,0
"104",7003,"700360","MO","CB3",60,"F",0,"999","R","np"," 999"," 999"," 999",0,66.896,0," 999",999,0,0,0,0,0,0,0,0
"105",7003,"700360","MO","CB4",60,"F",0,"999","R","np"," 999"," 999"," 999",0,66.896,0," 999",999,0,0,0,0,0,0,0,0
"106",7003,"700360","MO","CB5",60,"F",0,"999","R","np"," 999"," 999"," 999",0,66.896,0," 999",999,0,0,0,0,0,0,0,0
"107",7017,"701760","MO","C3",60,"F",0,"O","R","c","","","",5,48.812,22.537," yes",34.375,2,1,0,0,0,0,0,0
"108",7017,"701760","MO","C4",60,"F",0,"O","R","c","","","",7,44.46,28.924," no",999,3,1,0,0,0,0,0,0
"109",7017,"701760","MO","C5",60,"F",0,"O","R","c","","","",14,59.486,42.594," yes",22.026,5,4,3,2,1,0,0,0
"110",7017,"701760","MO","CB2",60,"F",0,"999","B","np"," 999"," 999"," 999",16,68.646,0," 999",999,2,0,0,0,0,0,0,0
"111",7017,"701760","MO","CB3",60,"F",0,"999","B","np"," 999"," 999"," 999",16,68.646,0," 999",999,0,0,0,0,0,0,0,0
"112",7017,"701760","MO","CB4",60,"F",0,"999","B","np"," 999"," 999"," 999",16,68.646,0," 999",999,2,0,0,0,0,0,0,0
"113",7017,"701760","MO","CB5",60,"F",0,"999","B","np"," 999"," 999"," 999",16,68.646,0," 999",999,3,0,0,0,0,0,0,0
"114",7042,"704260","MO","C3",60,"F",0,"W","R","c"," 999"," 999"," robot",9,52.054,33.791," yes",999,3,0,0,0,0,0,0,0
